,gyrMag-min,gyrMag-max,gyrMag-mean,gyrMag-median,gyrMag-std,gyrMag-IQR,gyrMag-RMS,gyrMag-MCR,gyrMag-Kurt,gyrMag-Skew,gyrMag-frEnergy,gyrMag-PeakFreq,gyrMag-frDmEntroPy,gyrMag-frMag1,gyrMag-frMag2,gyrMag-frMag3,gyrMag-frMag4,gyrMag-frMag5,accMag-min,accMag-max,accMag-mean,accMag-median,accMag-std,accMag-IQR,accMag-RMS,accMag-MCR,accMag-Kurt,accMag-Skew,accMag-frEnergy,accMag-PeakFreq,accMag-frDmEntroPy,accMag-frMag1,accMag-frMag2,accMag-frMag3,accMag-frMag4,accMag-frMag5
1,8.761,122.507,46.648,42.455,24.958,35.276,52.787,0.38,0.862,0.998,75.693,0.2,3.056,8.291,2.311,0.2,4.312,3.721,6.057,15.397,10.171,10.357,1.914,1.769,10.345,0.64,0.399,0.009,5.986,3.2,3.089,0.135,0.095,0.099,0.16,0.124
2,9.971,288.894,49.821,40.092,46.97,33.788,68.148,0.32,11.841,3.024,149.101,0.4,3.102,8.865,14.124,6.867,3.811,11.242,3.034,19.136,9.948,9.755,2.394,1.295,10.227,0.44,5.437,1.149,7.532,3.0,3.081,0.199,0.277,0.228,0.329,0.373
3,5.654,187.07,48.433,36.959,36.412,26.936,60.375,0.22,4.296,2.077,95.609,0.2,2.872,11.871,9.208,9.368,10.44,9.257,7.312,12.619,9.977,9.975,1.227,1.501,10.051,0.64,-0.111,0.045,3.799,4.2,3.061,0.099,0.029,0.105,0.072,0.122
4,7.239,95.707,39.931,40.01,20.255,28.949,44.682,0.44,0.268,0.589,63.709,0.4,3.087,2.208,5.613,4.88,5.409,1.452,6.381,18.105,10.001,9.971,1.908,1.804,10.178,0.48,5.01,1.468,6.2,5.0,3.102,0.166,0.429,0.178,0.115,0.503
5,7.104,241.676,84.221,67.204,59.201,72.976,102.605,0.34,0.127,0.91,164.163,0.4,2.987,15.858,24.527,6.857,2.125,4.361,6.132,14.95,10.231,10.241,1.913,1.951,10.405,0.6,0.018,-0.121,6.321,4.6,3.124,0.167,0.259,0.28,0.135,0.045
6,4.287,258.759,105.274,93.928,61.616,89.53,121.669,0.46,-0.149,0.691,194.809,0.2,3.113,18.432,10.809,6.69,14.333,6.097,6.352,13.412,10.214,10.334,1.842,2.995,10.376,0.62,-0.946,-0.209,5.776,2.8,3.075,0.106,0.117,0.126,0.2,0.276
7,3.693,254.448,61.024,38.655,55.626,41.073,82.197,0.2,2.947,1.879,155.873,0.2,3.007,25.828,13.893,6.752,3.845,4.891,2.58,14.609,10.433,10.425,2.269,2.709,10.672,0.6,1.497,-0.668,7.524,2.2,3.131,0.259,0.198,0.155,0.264,0.156
8,6.753,109.973,42.362,33.792,27.889,33.0,50.565,0.28,0.186,1.051,76.723,0.6,2.945,4.005,9.624,9.713,5.037,4.595,3.326,15.938,9.98,10.045,1.942,1.275,10.164,0.48,3.488,-0.264,5.895,4.6,3.057,0.265,0.126,0.179,0.102,0.177
10,13.707,152.286,61.298,59.154,30.681,38.551,68.41,0.5,0.57,0.885,100.516,5.0,3.082,3.001,4.183,4.122,5.091,3.615,6.145,16.403,10.461,9.927,2.112,2.939,10.667,0.5,-0.003,0.485,6.589,4.4,3.081,0.249,0.087,0.259,0.281,0.165
11,4.741,196.256,57.343,48.022,35.477,37.159,67.244,0.36,3.2,1.412,109.763,0.2,3.07,8.837,5.134,5.82,7.78,2.324,4.805,16.272,10.139,9.904,2.109,2.651,10.352,0.56,0.701,0.454,6.706,1.0,3.094,0.255,0.073,0.025,0.324,0.556
12,12.429,91.118,39.593,39.138,18.404,23.298,43.584,0.48,0.144,0.672,56.452,1.6,3.057,1.516,3.318,3.487,2.96,3.794,5.393,16.014,10.272,10.039,1.899,1.979,10.443,0.54,1.156,0.566,5.584,4.8,3.006,0.017,0.263,0.185,0.265,0.201
13,5.277,110.617,35.348,27.53,22.017,34.533,41.527,0.26,1.203,1.143,66.573,0.4,3.065,4.53,7.897,2.956,3.943,1.839,7.034,11.742,9.987,9.986,1.018,1.295,10.038,0.58,0.698,-0.791,3.192,4.6,3.095,0.127,0.094,0.163,0.056,0.097
14,9.041,71.048,37.629,37.811,15.345,25.261,40.58,0.52,-0.837,0.137,47.881,0.4,3.07,1.741,4.556,1.63,0.881,1.484,6.883,13.013,10.028,9.912,1.442,2.093,10.129,0.68,-0.432,0.031,4.184,4.8,3.011,0.087,0.012,0.081,0.123,0.045
15,7.7,79.798,38.19,34.64,17.424,17.757,41.904,0.36,-0.109,0.524,56.569,0.2,3.131,4.767,2.17,1.053,2.538,3.067,7.174,13.936,10.314,10.343,1.689,2.413,10.449,0.58,-0.682,0.119,5.093,4.4,3.045,0.171,0.156,0.091,0.186,0.185
16,1.42,50.239,23.53,21.776,11.426,13.391,26.107,0.4,-0.206,0.336,34.03,0.2,3.006,3.67,2.369,1.898,1.211,0.969,7.573,12.3,10.095,10.224,0.998,1.107,10.143,0.62,0.112,-0.175,3.01,3.0,3.048,0.055,0.057,0.089,0.072,0.086
17,14.086,228.634,92.739,86.273,47.367,53.256,103.92,0.26,0.414,0.708,132.469,0.2,2.964,15.291,14.328,12.978,7.173,4.186,7.088,15.079,10.19,9.909,1.677,1.84,10.325,0.66,0.28,0.747,5.281,4.4,3.098,0.072,0.296,0.114,0.229,0.285
18,14.324,164.389,63.77,52.918,35.286,43.333,72.71,0.3,0.166,1.01,107.743,0.2,3.061,12.184,6.023,7.197,3.048,3.101,7.026,15.245,10.498,10.047,1.94,2.231,10.673,0.54,0.001,0.648,6.022,2.4,3.083,0.13,0.071,0.139,0.128,0.156
19,9.2,187.381,42.718,31.368,33.543,26.569,54.106,0.44,5.557,2.149,98.809,4.4,3.008,7.453,7.013,1.773,8.909,2.441,4.961,15.472,10.21,10.277,1.879,1.238,10.378,0.56,1.602,-0.293,5.821,2.6,3.057,0.126,0.157,0.142,0.267,0.31
20,8.97,133.736,53.95,48.309,28.397,31.233,60.835,0.34,0.394,0.816,80.904,2.2,2.971,8.39,1.297,2.355,4.763,6.331,3.491,16.724,9.641,9.324,2.877,3.535,10.053,0.74,-0.142,-0.026,8.455,5.0,2.949,0.047,0.162,0.162,0.198,0.087
21,14.57,218.987,62.394,56.322,37.423,50.872,72.563,0.38,4.344,1.579,111.57,0.2,3.053,13.496,7.434,3.795,1.176,3.822,5.953,15.365,10.108,9.988,1.596,1.766,10.231,0.62,1.529,0.466,5.215,2.2,3.125,0.28,0.056,0.179,0.196,0.215
22,8.344,89.877,36.67,30.84,20.542,27.981,41.931,0.34,-0.072,0.827,62.359,0.2,3.053,6.829,2.061,4.96,2.672,2.473,6.814,15.514,10.077,9.739,1.865,1.702,10.245,0.42,1.323,0.974,5.771,2.0,3.07,0.146,0.021,0.26,0.31,0.253
24,4.014,149.507,44.417,33.818,35.473,36.576,56.622,0.36,1.019,1.273,106.54,0.2,3.055,9.648,9.277,2.585,2.547,8.777,5.483,15.649,10.131,10.035,1.822,1.821,10.29,0.58,1.3,0.403,5.406,4.6,3.03,0.131,0.152,0.161,0.058,0.186
25,9.553,104.429,43.156,39.035,19.325,23.18,47.207,0.36,0.794,0.924,62.465,0.4,3.095,3.383,5.251,1.639,2.22,1.46,5.109,16.139,10.062,9.748,2.044,2.712,10.263,0.7,0.443,0.375,6.009,2.2,2.99,0.112,0.201,0.053,0.084,0.098
26,7.202,152.018,56.028,51.53,30.362,33.593,63.581,0.38,0.919,1.094,92.643,2.4,3.064,2.811,2.067,1.805,3.767,2.826,6.216,14.964,10.494,10.399,1.959,2.923,10.671,0.54,-0.528,0.198,6.292,4.8,3.124,0.159,0.168,0.22,0.403,0.179
27,3.88,81.753,39.986,39.472,16.547,21.128,43.211,0.42,-0.235,0.126,51.458,0.6,3.077,2.66,0.636,4.007,2.648,1.298,5.889,14.562,10.053,10.078,1.674,1.804,10.189,0.6,0.218,-0.02,5.022,2.4,3.03,0.082,0.168,0.076,0.174,0.027
28,6.095,197.455,47.561,37.234,35.481,32.251,59.125,0.34,4.934,1.926,110.031,0.4,3.062,3.473,9.701,6.318,9.609,4.488,6.076,14.481,10.073,9.971,1.254,1.25,10.149,0.5,4.716,0.788,3.903,4.0,3.087,0.177,0.076,0.152,0.134,0.054
29,8.221,134.922,45.703,42.167,26.839,26.978,52.865,0.3,2.128,1.299,84.062,0.2,3.071,7.085,6.554,5.658,1.819,2.89,6.407,17.142,10.039,9.874,1.837,1.321,10.202,0.54,4.542,1.418,5.588,4.6,3.018,0.255,0.127,0.047,0.07,0.127
30,10.77,182.836,61.672,53.638,40.876,45.774,73.762,0.3,0.845,1.143,124.72,0.2,3.042,14.137,5.722,8.514,9.775,4.118,5.691,16.25,10.434,10.363,1.53,1.639,10.543,0.38,3.904,0.484,4.505,2.2,3.003,0.088,0.122,0.101,0.033,0.036
31,9.935,119.347,45.188,40.243,22.804,27.182,50.513,0.4,0.895,0.963,67.901,2.6,3.031,4.515,2.656,1.522,1.979,3.428,5.901,16.74,10.148,9.932,2.321,3.422,10.405,0.54,-0.093,0.498,7.343,2.2,3.083,0.143,0.214,0.176,0.181,0.263
32,5.444,204.256,39.01,30.996,35.523,19.037,52.521,0.34,12.673,3.463,104.815,0.4,3.021,9.408,9.553,5.921,9.423,6.28,5.545,14.069,10.007,10.114,1.46,1.522,10.111,0.54,1.537,-0.166,4.414,3.8,3.038,0.049,0.208,0.205,0.1,0.045
34,12.055,103.214,51.383,51.326,22.084,32.493,55.841,0.38,-0.242,0.452,64.736,0.2,3.032,8.859,1.579,2.796,1.426,2.091,6.554,14.561,10.23,10.086,1.948,2.793,10.41,0.64,-0.67,0.096,5.776,4.6,3.014,0.344,0.013,0.145,0.069,0.109
35,1.961,99.701,43.691,40.056,22.246,26.246,48.927,0.4,-0.187,0.564,67.633,1.0,3.049,3.707,4.336,4.299,1.871,6.681,5.721,15.001,10.216,10.313,1.88,2.2,10.384,0.72,0.206,0.01,5.715,4.6,3.04,0.103,0.13,0.123,0.202,0.245
36,10.583,136.807,58.94,50.766,31.96,48.532,66.895,0.36,-0.164,0.77,94.745,0.4,3.029,2.082,10.678,2.649,1.266,7.947,6.67,20.55,10.658,9.815,2.794,2.831,11.011,0.44,1.689,1.2,8.885,3.0,3.091,0.252,0.443,0.211,0.436,0.055
37,13.538,186.414,67.468,59.372,36.858,44.628,76.702,0.26,1.777,1.286,106.723,0.2,3.003,13.067,2.56,8.682,7.207,1.445,6.872,12.645,10.23,10.112,1.327,1.807,10.314,0.5,-0.089,-0.281,4.399,5.0,3.108,0.048,0.221,0.154,0.148,0.127
38,5.689,165.714,66.361,60.085,35.783,41.346,75.223,0.46,0.496,0.895,112.728,2.4,3.113,4.286,2.412,2.748,6.428,5.007,6.334,26.148,10.644,9.675,3.419,2.436,11.169,0.54,7.43,2.395,10.048,4.8,3.021,0.101,0.163,0.336,0.43,0.279
39,6.152,105.242,41.399,35.841,26.505,39.011,49.014,0.24,-0.468,0.708,73.13,0.2,2.916,10.142,8.164,4.742,1.174,5.304,6.293,13.391,10.045,10.038,1.409,1.289,10.141,0.56,0.696,0.092,4.327,2.8,3.064,0.094,0.116,0.144,0.109,0.155
40,7.898,345.774,63.394,41.718,69.151,44.394,93.3,0.18,6.876,2.605,206.631,0.2,3.044,21.361,12.041,19.976,16.411,16.151,7.16,14.883,10.277,10.2,1.532,1.789,10.388,0.5,0.739,0.609,4.813,1.8,3.09,0.167,0.138,0.282,0.077,0.113
41,2.934,181.441,55.674,48.228,38.671,48.474,67.566,0.38,1.467,1.253,116.932,1.2,3.033,6.721,2.545,5.823,6.771,3.409,6.967,15.622,10.187,10.059,1.675,2.214,10.321,0.56,0.861,0.755,5.032,2.4,3.009,0.104,0.073,0.056,0.167,0.176
42,11.005,112.772,45.9,44.366,25.282,24.771,52.28,0.42,0.751,1.131,79.364,0.2,3.071,8.072,5.348,4.073,5.692,3.174,4.406,15.439,10.067,10.113,2.326,2.654,10.327,0.64,0.259,-0.164,7.304,3.4,3.051,0.124,0.12,0.077,0.123,0.073
43,12.857,83.888,42.635,40.006,20.859,35.557,47.373,0.32,-1.184,0.243,65.324,0.4,3.078,4.164,6.773,4.276,2.857,4.006,7.055,13.149,9.856,9.952,1.227,1.099,9.931,0.54,1.176,0.383,3.817,4.2,3.053,0.089,0.084,0.077,0.213,0.111
44,9.156,181.307,72.902,70.154,39.9,56.497,82.915,0.24,0.019,0.611,111.241,0.2,2.985,17.245,1.669,8.836,5.554,3.219,7.931,14.405,10.29,10.138,1.405,1.672,10.384,0.48,0.53,0.662,4.279,2.0,3.007,0.198,0.07,0.187,0.314,0.028
45,8.642,258.93,57.623,43.502,44.423,39.435,72.487,0.26,7.224,2.383,133.539,0.2,3.036,16.289,9.303,8.335,3.313,2.316,6.539,14.963,10.469,10.43,1.869,2.009,10.631,0.56,0.049,0.062,5.296,4.4,2.954,0.161,0.127,0.099,0.019,0.085
46,17.401,112.474,49.045,40.492,24.757,28.909,54.827,0.36,0.316,1.046,72.072,0.2,3.028,10.278,5.346,2.554,0.362,2.921,5.011,14.453,9.873,9.798,1.865,2.675,10.044,0.66,0.045,0.09,5.645,4.8,3.06,0.123,0.187,0.065,0.127,0.07
47,4.204,77.043,39.093,36.432,17.632,29.898,42.812,0.48,-0.768,0.179,58.072,2.2,3.143,3.216,3.155,1.354,2.329,1.618,6.3,14.973,10.113,10.39,1.862,2.345,10.28,0.68,-0.029,0.128,5.854,4.2,3.09,0.192,0.219,0.203,0.241,0.156
48,10.989,218.139,67.748,54.472,51.409,65.063,84.734,0.2,0.731,1.16,147.127,0.2,2.971,16.95,12.779,12.55,9.052,10.707,7.145,16.962,10.6,10.065,2.11,2.322,10.804,0.52,0.839,0.875,6.746,0.8,3.097,0.22,0.25,0.014,0.496,0.268
50,12.967,129.6,52.693,48.955,29.661,43.843,60.322,0.5,-0.016,0.79,97.625,0.8,3.133,5.031,7.09,4.009,7.657,6.089,5.97,15.776,10.106,10.1,2.073,2.043,10.312,0.72,0.958,0.564,6.606,3.8,3.097,0.12,0.155,0.171,0.094,0.254
51,11.895,103.406,37.617,32.794,21.075,21.041,43.015,0.46,1.933,1.453,63.945,0.2,3.056,6.313,4.221,0.803,1.655,3.318,6.177,15.37,10.053,10.018,1.751,1.597,10.202,0.6,1.166,0.41,4.891,4.4,2.953,0.116,0.083,0.131,0.149,0.07
52,3.732,127.028,44.764,35.713,30.241,38.961,53.852,0.36,0.229,1.086,90.689,1.8,3.027,5.635,6.119,4.573,4.061,3.121,5.419,26.495,10.552,10.167,2.888,1.626,10.933,0.54,17.141,3.52,9.145,3.2,3.083,0.565,0.099,0.32,0.237,0.646
53,9.537,152.55,54.197,49.482,30.728,28.26,62.15,0.42,2.254,1.387,96.046,0.4,3.065,4.267,7.784,2.746,6.306,6.103,5.209,13.724,9.958,10.061,2.039,2.792,10.161,0.68,-0.349,-0.48,5.623,4.6,2.907,0.117,0.099,0.127,0.015,0.017
54,8.082,116.557,46.377,43.391,25.92,33.909,53.002,0.4,0.374,0.886,83.632,0.4,3.123,4.645,6.028,3.254,4.759,3.434,5.963,15.601,10.222,10.106,1.516,1.484,10.332,0.5,2.921,0.756,4.97,2.4,3.139,0.132,0.145,0.247,0.17,0.292
55,6.519,84.197,32.101,31.439,15.539,19.99,35.596,0.5,0.929,0.635,49.202,0.8,3.104,0.9,3.807,0.817,3.843,0.842,6.879,13.049,9.928,10.118,1.447,2.038,10.031,0.58,-0.581,-0.253,4.184,4.4,3.003,0.068,0.164,0.103,0.103,0.13
56,15.9,136.184,52.073,51.241,24.495,28.357,57.442,0.5,1.78,1.122,75.372,1.4,3.067,5.001,3.101,3.939,1.934,1.297,6.515,16.591,10.339,10.173,1.877,1.55,10.505,0.5,1.806,0.71,5.987,0.2,3.07,0.514,0.146,0.328,0.301,0.161
