,gyrMag-min,gyrMag-max,gyrMag-mean,gyrMag-median,gyrMag-std,gyrMag-IQR,gyrMag-RMS,gyrMag-MCR,gyrMag-Kurt,gyrMag-Skew,gyrMag-frEnergy,gyrMag-PeakFreq,gyrMag-frDmEntroPy,gyrMag-frMag1,gyrMag-frMag2,gyrMag-frMag3,gyrMag-frMag4,gyrMag-frMag5,accMag-min,accMag-max,accMag-mean,accMag-median,accMag-std,accMag-IQR,accMag-RMS,accMag-MCR,accMag-Kurt,accMag-Skew,accMag-frEnergy,accMag-PeakFreq,accMag-frDmEntroPy,accMag-frMag1,accMag-frMag2,accMag-frMag3,accMag-frMag4,accMag-frMag5
122,8.157,69.17,30.662,27.055,15.129,20.988,34.125,0.44,-0.224,0.692,46.577,4.6,3.077,2.865,3.317,1.244,2.864,4.154,6.146,14.251,10.196,10.185,1.576,1.564,10.314,0.6,0.255,-0.005,4.947,5.0,3.049,0.16,0.057,0.184,0.157,0.133
123,11.634,129.546,40.487,33.145,23.67,27.414,46.779,0.38,2.936,1.553,78.413,0.8,3.154,4.611,4.128,4.006,5.744,2.295,5.759,15.416,10.349,10.125,1.675,1.962,10.481,0.6,1.253,0.221,4.874,3.0,3.008,0.11,0.099,0.09,0.107,0.142
124,12.692,144.435,48.238,42.503,25.186,27.289,54.3,0.36,2.709,1.395,70.605,0.4,2.993,6.301,10.105,7.216,1.623,3.732,7.369,19.219,10.382,10.31,1.958,1.9,10.562,0.72,6.467,1.8,5.954,4.4,3.016,0.075,0.284,0.134,0.076,0.213
125,10.294,129.093,55.434,51.638,24.509,31.871,60.512,0.46,0.635,0.769,77.795,2.2,3.096,3.655,3.038,5.718,1.875,1.903,6.344,13.614,10.398,10.252,1.843,2.578,10.557,0.66,-0.699,-0.253,5.55,5.0,2.96,0.11,0.126,0.104,0.021,0.079
128,21.051,136.864,56.83,50.698,24.362,26.487,61.735,0.48,1.243,1.118,75.539,1.2,3.08,6.322,1.267,2.83,2.306,2.963,4.819,17.358,10.221,9.991,2.266,2.425,10.465,0.66,1.267,0.549,6.26,4.2,2.951,0.059,0.169,0.083,0.105,0.091
129,14.145,162.556,56.523,50.262,30.025,36.394,63.862,0.42,2.087,1.271,89.599,1.4,3.049,3.413,1.639,1.737,2.887,3.676,5.918,18.051,10.334,10.07,1.964,2.215,10.515,0.48,3.676,1.269,6.36,2.8,3.126,0.075,0.138,0.2,0.249,0.252
130,6.965,110.903,46.262,38.371,27.605,36.36,53.731,0.4,-0.573,0.694,77.168,0.2,2.968,11.348,2.892,3.548,3.156,3.115,7.418,13.899,10.117,10.193,1.3,1.38,10.199,0.62,1.237,0.422,3.907,4.8,3.028,0.043,0.135,0.215,0.029,0.074
131,8.557,207.272,61.389,52.131,39.383,49.797,72.723,0.38,2.015,1.185,113.862,1.2,2.973,3.11,6.257,10.345,0.418,2.99,5.831,16.658,10.448,10.308,1.944,2.563,10.624,0.54,0.952,0.501,5.973,3.4,3.077,0.114,0.085,0.138,0.245,0.064
132,7.683,89.049,26.989,22.808,15.812,17.589,31.2,0.42,4.087,1.81,50.575,0.8,3.124,3.148,1.851,0.883,4.477,1.4,8.137,12.153,10.044,10.107,1.012,1.514,10.094,0.58,-0.727,0.004,3.257,4.8,3.129,0.11,0.073,0.129,0.055,0.096
133,6.053,89.86,31.996,27.499,16.873,21.634,36.093,0.4,1.267,0.985,52.086,0.4,3.056,1.319,5.785,3.849,2.079,2.489,7.497,13.665,10.111,9.882,1.223,1.493,10.183,0.64,1.113,0.747,3.945,5.0,3.087,0.166,0.102,0.181,0.071,0.026
134,11.295,99.697,49.655,47.485,20.255,24.58,53.551,0.38,-0.096,0.388,61.914,0.2,3.056,5.947,4.696,2.997,2.775,1.456,5.238,18.208,10.211,10.217,2.346,1.629,10.472,0.72,3.145,1.015,6.709,4.4,2.96,0.056,0.13,0.246,0.329,0.042
135,13.056,206.82,48.024,41.072,33.972,33.119,58.629,0.24,7.943,2.385,91.915,0.4,2.922,5.535,12.188,10.175,4.496,9.64,5.554,14.514,10.145,9.997,1.798,2.034,10.3,0.66,0.248,0.06,5.32,4.0,3.021,0.113,0.068,0.2,0.181,0.116
136,5.414,92.395,42.393,39.559,19.215,25.277,46.465,0.5,-0.218,0.295,62.507,0.6,3.112,2.637,3.252,4.285,1.664,3.884,4.991,13.899,10.005,10.09,1.79,2.133,10.161,0.52,0.149,-0.24,5.642,2.8,3.099,0.082,0.12,0.168,0.117,0.225
137,20.562,219.838,55.191,45.28,37.414,32.712,66.467,0.3,6.826,2.416,114.224,0.4,3.031,7.578,12.338,8.87,2.065,6.062,5.704,14.055,10.149,10.14,1.808,2.212,10.305,0.56,-0.365,0.116,5.465,2.4,3.06,0.103,0.174,0.346,0.195,0.167
138,2.655,196.458,38.792,28.978,32.192,30.419,50.203,0.42,9.622,2.581,107.579,0.4,3.135,5.179,6.209,5.342,5.049,5.098,2.27,20.666,10.215,9.947,2.518,1.996,10.515,0.52,6.313,1.11,7.929,3.6,3.088,0.311,0.135,0.34,0.213,0.299
