,gyrMag-min,gyrMag-max,gyrMag-mean,gyrMag-median,gyrMag-std,gyrMag-IQR,gyrMag-RMS,gyrMag-MCR,gyrMag-Kurt,gyrMag-Skew,gyrMag-frEnergy,gyrMag-PeakFreq,gyrMag-frDmEntroPy,gyrMag-frMag1,gyrMag-frMag2,gyrMag-frMag3,gyrMag-frMag4,gyrMag-frMag5,accMag-min,accMag-max,accMag-mean,accMag-median,accMag-std,accMag-IQR,accMag-RMS,accMag-MCR,accMag-Kurt,accMag-Skew,accMag-frEnergy,accMag-PeakFreq,accMag-frDmEntroPy,accMag-frMag1,accMag-frMag2,accMag-frMag3,accMag-frMag4,accMag-frMag5,count,label,cattle_id,timestamp,timestamp_human
59,27.394,772.526,228.133,189.216,146.83,96.175,270.504,0.5,4.99,2.16,419.815,0.2,2.985,51.831,31.04,6.762,17.329,10.384,3.889,30.762,12.008,10.756,5.647,5.061,13.246,0.54,2.054,1.423,16.527,4.0,3.0,1.095,0.358,0.135,0.301,0.296,50,walking,goat03,590001,1970-01-01 00:09:50.001
60,42.676,385.455,168.27,149.066,76.846,83.545,184.667,0.52,0.831,0.97,239.433,0.4,3.071,12.007,20.702,5.722,3.004,2.008,4.761,23.207,11.109,9.786,4.107,4.853,11.829,0.58,0.86,1.149,12.934,4.6,3.091,0.144,0.67,0.416,0.217,0.656,50,walking,goat03,600001,1970-01-01 00:10:00.001
61,55.137,416.371,177.003,149.589,75.058,106.802,191.966,0.58,0.53,0.944,220.435,4.6,2.998,1.824,10.276,5.254,9.76,6.036,4.176,22.792,11.286,10.698,4.077,5.321,11.986,0.6,0.626,0.974,11.473,4.6,2.993,0.258,0.253,0.316,0.457,0.323,50,walking,goat03,610001,1970-01-01 00:10:10.001
62,11.508,374.79,169.94,163.246,85.708,105.435,189.944,0.46,-0.386,0.492,263.715,2.2,3.082,7.844,13.605,4.755,13.56,7.192,4.443,23.156,11.502,9.239,5.008,6.264,12.525,0.68,-0.376,0.856,12.933,4.8,2.885,0.258,0.264,0.154,0.509,0.182,50,walking,goat03,620001,1970-01-01 00:10:20.001
63,33.161,314.458,140.211,135.724,69.934,106.827,156.372,0.34,-0.187,0.583,210.959,0.2,3.038,20.77,16.231,10.299,14.13,12.863,5.63,24.279,11.043,9.732,3.797,2.891,11.665,0.38,2.905,1.65,12.082,2.6,3.094,0.657,0.449,0.461,0.434,0.704,50,walking,goat03,630001,1970-01-01 00:10:30.001
64,10.926,426.67,143.527,122.28,91.829,105.372,169.894,0.54,1.367,1.198,300.577,4.4,3.143,11.755,13.957,6.208,13.135,7.638,4.324,22.127,10.681,10.304,3.837,4.241,11.336,0.62,1.048,0.96,11.668,3.6,3.051,0.581,0.24,0.393,0.525,0.174,50,walking,goat03,640001,1970-01-01 00:10:40.001
65,27.274,346.181,163.916,140.916,79.764,116.931,181.944,0.34,-0.657,0.515,247.629,0.4,3.082,5.049,21.8,12.13,5.958,15.858,4.531,22.644,10.627,9.615,3.727,3.32,11.249,0.6,1.781,1.267,12.044,5.0,3.064,0.237,0.073,0.391,0.205,0.384,50,walking,goat03,650001,1970-01-01 00:10:50.001
66,24.282,377.737,129.046,117.579,79.121,77.167,150.957,0.42,2.416,1.477,236.101,0.4,3.022,21.779,27.023,4.202,8.474,3.838,0.749,22.525,10.194,10.186,3.17,2.591,10.666,0.6,4.49,0.696,9.96,3.0,3.104,0.237,0.52,0.327,0.543,0.147,50,walking,goat03,660001,1970-01-01 00:11:00.001
67,2.857,627.034,138.642,112.084,125.278,100.652,186.017,0.24,4.453,1.987,367.173,0.4,3.003,28.291,40.629,8.823,24.73,9.831,6.567,23.797,11.26,10.366,3.613,3.236,11.815,0.62,2.542,1.603,11.4,4.8,3.079,0.631,0.306,0.247,0.214,0.545,50,walking,goat03,670001,1970-01-01 00:11:10.001
68,13.516,302.325,104.803,100.196,55.54,77.989,118.35,0.4,1.784,1.038,171.553,1.0,3.083,2.791,5.016,1.555,7.857,18.806,6.364,19.123,10.453,9.869,2.144,2.844,10.667,0.58,3.601,1.37,6.264,4.0,2.988,0.018,0.13,0.175,0.045,0.136,50,walking,goat03,680001,1970-01-01 00:11:20.001
